# Authored source dependencies. Identity checks do not discharge semantic proof edges.
# References through a named local owner are intentional; common Infra operations keep their owner.
# row-id	comma-separated-dependencies-or--
op.ipv6-compressed-piece-index	type.ipv6-address-and-pieces,ext.infra.list
op.host-equality	type.host
rule.url-operation-contracts	type.url-record,op.valid-url-string,op.url-parser,op.url-serializer,op.url-equality,type.validation-error,ext.infra.scalar-value-string,ext.infra.ascii-string
type.url-record	ext.infra.struct,slot.url-scheme,slot.url-username,slot.url-password,slot.url-host,slot.url-port,slot.url-path,slot.url-query,slot.url-fragment,slot.url-blob-entry
slot.url-scheme	ext.infra.ascii-string
slot.url-username	ext.infra.ascii-string
slot.url-password	ext.infra.ascii-string
slot.url-host	type.host
rule.url-scheme-host-combinations	slot.url-scheme,slot.url-host,op.url-is-special,type.empty-host
slot.url-port	ext.infra.unsigned-integers
slot.url-path	type.url-path,type.url-path-segment,ext.infra.list
rule.special-url-path-is-list	slot.url-path,op.url-is-special,ext.infra.list
slot.url-query	ext.infra.ascii-string
slot.url-fragment	ext.infra.ascii-string
slot.url-blob-entry	ext.fileapi.blob-url-entry
type.url-path	type.url-path-segment,ext.infra.list
type.url-path-segment	ext.infra.ascii-string
op.single-dot-path-segment	type.url-path-segment,ext.infra.ascii
op.double-dot-path-segment	type.url-path-segment,ext.infra.ascii
rule.special-schemes-and-default-ports	ext.infra.ascii-string,ext.infra.unsigned-integers
op.url-is-special	type.url-record,slot.url-scheme,rule.special-schemes-and-default-ports
op.url-includes-credentials	type.url-record,slot.url-username,slot.url-password
op.url-has-opaque-path	type.url-record,slot.url-path,type.url-path-segment
op.url-cannot-have-credentials-or-port	type.url-record,slot.url-host,slot.url-scheme
type.base-url-role	type.url-record
op.windows-drive-letter	ext.infra.ascii
op.normalized-windows-drive-letter	op.windows-drive-letter
rule.windows-drive-letter-writing-conformance	op.normalized-windows-drive-letter,op.scheme-relative-file-url-string
op.starts-with-windows-drive-letter	op.windows-drive-letter,ext.infra.string-operations
op.shorten-url-path	op.url-has-opaque-path,slot.url-path,slot.url-scheme,op.normalized-windows-drive-letter,ext.infra.list
op.valid-url-string	op.relative-url-with-fragment-string,op.absolute-url-with-fragment-string
op.absolute-url-with-fragment-string	op.absolute-url-string,op.url-fragment-string
op.absolute-url-string	op.url-scheme-string,rule.special-schemes-and-default-ports,op.scheme-relative-special-url-string,op.scheme-relative-url-string,op.path-absolute-non-authority-url-string,op.opaque-path-url-string,op.scheme-relative-file-url-string,op.url-query-string,ext.infra.ascii
op.url-scheme-string	ext.infra.ascii,ext.iana.uri-schemes-registry
op.relative-url-with-fragment-string	op.url-fragment-string,type.base-url-role,op.url-has-opaque-path,op.relative-url-string
op.relative-url-string	op.path-absolute-non-authority-url-string,op.path-relative-scheme-less-url-string,type.base-url-role,slot.url-scheme,rule.special-schemes-and-default-ports,op.scheme-relative-special-url-string,op.scheme-relative-file-url-string,op.scheme-relative-url-string,op.url-query-string
rule.relative-url-base-requirement	type.base-url-role,op.relative-url-with-fragment-string,op.url-parser
op.scheme-relative-special-url-string	op.valid-host-string,op.url-port-string,op.path-absolute-url-string
op.url-port-string	ext.infra.ascii,ext.infra.unsigned-integers
op.scheme-relative-url-string	op.opaque-host-and-port-string,op.path-absolute-url-string
op.opaque-host-and-port-string	op.valid-opaque-host-string,op.url-port-string
op.scheme-relative-file-url-string	op.valid-host-string,op.path-absolute-url-string
op.path-absolute-url-string	op.url-path-segment-string
op.path-absolute-non-authority-url-string	op.path-absolute-url-string
op.path-relative-url-string	op.url-path-segment-string
op.path-relative-scheme-less-url-string	op.path-relative-url-string,op.url-scheme-string
op.opaque-path-url-string	op.url-units
op.url-path-segment-string	op.url-units,op.single-dot-path-segment,op.double-dot-path-segment
op.url-query-string	op.url-units
op.url-fragment-string	op.url-units
op.url-code-points	ext.infra.code-point,ext.infra.ascii,ext.infra.surrogate,ext.infra.noncharacter
rule.url-non-ascii-percent-encoding	op.basic-url-parser,op.percent-encoded-byte-syntax
rule.url-query-legacy-encoding	op.parser-query,ext.encoding.encoding,ext.encoding.utf8,ext.html.document-encoding
op.url-units	op.url-code-points,op.percent-encoded-byte-syntax
rule.url-percent-encoded-units	op.url-code-points,op.percent-encoded-byte-syntax,op.url-units
rule.valid-url-string-has-no-credentials	op.valid-url-string,slot.url-username,slot.url-password
op.url-parser	op.basic-url-parser,type.base-url-role,type.url-record,slot.url-scheme,slot.url-blob-entry,ext.infra.scalar-value-string,ext.encoding.encoding,ext.encoding.utf8,ext.fileapi.resolve-blob-url
op.basic-url-parser	type.url-record,type.base-url-role,type.validation-error,type.parser-pointer,type.eof-code-point,op.parser-current-code-point,op.parser-scheme-start,op.parser-scheme,op.parser-no-scheme,op.parser-special-relative-or-authority,op.parser-path-or-authority,op.parser-relative,op.parser-relative-slash,op.parser-special-authority-slashes,op.parser-special-authority-ignore-slashes,op.parser-authority,op.parser-host-and-hostname,op.parser-port,op.parser-file,op.parser-file-slash,op.parser-file-host,op.parser-path-start,op.parser-path,op.parser-opaque-path,op.parser-query,op.parser-fragment,ext.infra.scalar-value-string,ext.infra.ascii,ext.encoding.encoding,ext.encoding.utf8,ext.encoding.get-output-encoding
op.parser-scheme-start	op.parser-current-code-point,ext.infra.ascii,op.parser-scheme,op.parser-no-scheme
op.parser-scheme	op.parser-current-code-point,op.parser-remaining-input,ext.infra.ascii,slot.url-scheme,slot.url-port,slot.url-host,slot.url-path,type.empty-host,type.validation-error,rule.special-schemes-and-default-ports,op.url-includes-credentials,op.url-is-special,op.url-has-opaque-path,op.parser-file,op.parser-special-relative-or-authority,op.parser-special-authority-slashes,op.parser-path-or-authority,op.parser-opaque-path,op.parser-no-scheme
op.parser-no-scheme	op.url-has-opaque-path,op.parser-current-code-point,type.validation-error,slot.url-scheme,slot.url-path,slot.url-query,slot.url-fragment,op.parser-fragment,op.parser-relative,op.parser-file
op.parser-special-relative-or-authority	op.parser-current-code-point,op.parser-remaining-input,type.validation-error,op.parser-special-authority-ignore-slashes,op.parser-relative
op.parser-path-or-authority	op.parser-current-code-point,op.parser-authority,op.parser-path
op.parser-relative	slot.url-scheme,slot.url-username,slot.url-password,slot.url-host,slot.url-port,slot.url-path,slot.url-query,slot.url-fragment,op.parser-current-code-point,op.url-is-special,type.validation-error,type.eof-code-point,ext.infra.list,op.shorten-url-path,op.parser-relative-slash,op.parser-query,op.parser-fragment,op.parser-path
op.parser-relative-slash	op.url-is-special,op.parser-current-code-point,type.validation-error,slot.url-username,slot.url-password,slot.url-host,slot.url-port,op.parser-special-authority-ignore-slashes,op.parser-authority,op.parser-path
op.parser-special-authority-slashes	op.parser-current-code-point,op.parser-remaining-input,type.validation-error,op.parser-special-authority-ignore-slashes
op.parser-special-authority-ignore-slashes	op.parser-current-code-point,type.validation-error,op.parser-authority
op.parser-authority	op.parser-current-code-point,type.validation-error,type.eof-code-point,op.utf8-percent-encode-code-point,op.userinfo-percent-encode-set,slot.url-password,slot.url-username,op.url-is-special,ext.infra.string-operations,op.parser-host-and-hostname
op.parser-host-and-hostname	slot.url-scheme,slot.url-host,slot.url-port,op.parser-current-code-point,type.eof-code-point,type.validation-error,op.host-parser,op.url-is-special,op.url-includes-credentials,op.parser-file-host,op.parser-port,op.parser-path-start
op.parser-port	op.parser-current-code-point,type.eof-code-point,op.url-is-special,ext.infra.ascii,ext.infra.unsigned-integers,type.validation-error,slot.url-port,slot.url-scheme,rule.special-schemes-and-default-ports,op.parser-path-start
op.parser-file	slot.url-scheme,slot.url-host,slot.url-path,slot.url-query,slot.url-fragment,op.parser-current-code-point,type.validation-error,type.eof-code-point,ext.infra.list,ext.infra.string-operations,op.starts-with-windows-drive-letter,op.shorten-url-path,op.parser-file-slash,op.parser-query,op.parser-fragment,op.parser-path
op.parser-file-slash	op.parser-current-code-point,type.validation-error,slot.url-scheme,slot.url-host,slot.url-path,ext.infra.string-operations,ext.infra.list,op.starts-with-windows-drive-letter,op.normalized-windows-drive-letter,op.parser-file-host,op.parser-path
op.parser-file-host	op.parser-current-code-point,type.eof-code-point,type.validation-error,op.windows-drive-letter,slot.url-host,op.host-parser,op.url-is-special,op.parser-path,op.parser-path-start
op.parser-path-start	op.url-is-special,op.parser-current-code-point,type.validation-error,type.eof-code-point,slot.url-query,slot.url-fragment,slot.url-host,slot.url-path,ext.infra.list,op.parser-path,op.parser-query,op.parser-fragment
op.parser-path	op.parser-current-code-point,op.parser-remaining-input,type.eof-code-point,op.url-is-special,type.validation-error,op.double-dot-path-segment,op.single-dot-path-segment,op.shorten-url-path,slot.url-path,slot.url-scheme,slot.url-query,slot.url-fragment,ext.infra.list,op.windows-drive-letter,op.url-code-points,ext.infra.ascii,op.utf8-percent-encode-code-point,op.path-percent-encode-set,op.parser-query,op.parser-fragment
op.parser-opaque-path	op.parser-current-code-point,op.parser-remaining-input,type.eof-code-point,type.validation-error,slot.url-query,slot.url-fragment,slot.url-path,op.url-code-points,ext.infra.ascii,op.utf8-percent-encode-code-point,op.c0-control-percent-encode-set,op.parser-query,op.parser-fragment
op.parser-query	ext.encoding.encoding,ext.encoding.utf8,ext.encoding.iso-2022-jp-encoder,op.url-is-special,slot.url-scheme,slot.url-query,slot.url-fragment,op.parser-current-code-point,op.parser-remaining-input,type.eof-code-point,type.validation-error,op.special-query-percent-encode-set,op.query-percent-encode-set,op.percent-encode-after-encoding,op.url-code-points,ext.infra.ascii,op.parser-fragment
op.parser-fragment	op.parser-current-code-point,op.parser-remaining-input,type.eof-code-point,type.validation-error,op.url-code-points,ext.infra.ascii,op.utf8-percent-encode-code-point,op.fragment-percent-encode-set,slot.url-fragment
op.set-url-username	slot.url-username,op.utf8-percent-encode-string,op.userinfo-percent-encode-set
op.set-url-password	slot.url-password,op.utf8-percent-encode-string,op.userinfo-percent-encode-set
op.url-serializer	type.url-record,slot.url-scheme,slot.url-host,slot.url-username,slot.url-password,slot.url-port,slot.url-path,slot.url-query,slot.url-fragment,op.url-includes-credentials,op.host-serializer,op.serialize-integer,op.url-has-opaque-path,op.url-path-serializer,ext.infra.ascii-string,ext.infra.list
op.url-path-serializer	type.url-record,op.url-has-opaque-path,slot.url-path,ext.infra.ascii-string,ext.infra.list
op.url-equality	type.url-record,op.url-serializer
requirement.origin-html-dependency	ext.html.origin
op.url-origin	type.url-record,slot.url-scheme,slot.url-host,slot.url-port,slot.url-blob-entry,op.basic-url-parser,op.url-path-serializer,ext.fileapi.blob-url-entry-environment,ext.html.environment-settings-origin,ext.html.origin,ext.html.tuple-origin,ext.html.fresh-opaque-origin,ext.html.same-origin
requirement.rendering-security-decision-scope	type.url-record,op.url-serializer
requirement.rendering-simplification	requirement.rendering-security-decision-scope
requirement.rendering-host-simplification-permission	slot.url-host,slot.url-path,op.host-registrable-domain,op.domain-labels
requirement.rendering-credential-suppression	slot.url-username,slot.url-password,slot.url-host
requirement.rendering-scheme-display-permission	slot.url-scheme
requirement.rendering-elision	requirement.rendering-security-decision-scope
requirement.rendering-registrable-domain-visibility	op.host-registrable-domain
requirement.rendering-domain-label-elision	slot.url-host,op.domain-labels
requirement.rendering-internationalization	requirement.rendering-security-decision-scope
requirement.rendering-domain-to-unicode	slot.url-host,type.domain,op.domain-to-unicode
requirement.rendering-confusable-character-advice	ext.unicode.confusable-character-advice
requirement.rendering-constrained-percent-decoding	slot.url-host,op.percent-decode-string,ext.encoding.utf8-decode-without-bom
requirement.rendering-bidi-embedding	ext.unicode.bidirectional-algorithm
type.urlencoded-tuple-list-format	ext.infra.list,ext.infra.tuple,ext.infra.scalar-value-string
rule.urlencoded-utf8-conformance	ext.encoding.utf8,op.urlencoded-parser
op.urlencoded-parser	type.urlencoded-tuple-list-format,op.percent-decode-bytes,ext.infra.byte-sequence,ext.infra.list,ext.encoding.utf8-decode-without-bom
op.urlencoded-serializer	type.urlencoded-tuple-list-format,ext.encoding.encoding,ext.encoding.utf8,ext.encoding.get-output-encoding,ext.infra.ascii-string,ext.infra.list,ext.infra.scalar-value-string,op.percent-encode-after-encoding,op.form-percent-encode-set
op.urlencoded-string-parser	ext.infra.scalar-value-string,ext.encoding.utf8-encode,op.urlencoded-parser
requirement.api-support-audiences	ext.webidl.standard,idl.url-interface,idl.url-search-params-interface
idl.url-interface	ext.webidl.bindings,ext.webidl.interface-exposure,ext.webidl.legacy-window-alias
idl.url-constructor	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.optional-arguments,op.api-url-constructor
idl.url-parse	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.optional-arguments,ext.webidl.nullable,op.api-url-parse
idl.url-can-parse	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.optional-arguments,ext.webidl.boolean,op.api-url-can-parse
idl.url-href	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.stringifier,op.api-url-href-getter-and-to-json,op.api-url-href-setter
idl.url-origin	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-origin-getter
idl.url-protocol	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-protocol-getter,op.api-url-protocol-setter
idl.url-username	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-username-getter,op.api-url-username-setter
idl.url-password	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-password-getter,op.api-url-password-setter
idl.url-host	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-host-getter,op.api-url-host-setter
idl.url-hostname	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-hostname-getter,op.api-url-hostname-setter
idl.url-port	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-port-getter,op.api-url-port-setter
idl.url-pathname	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-pathname-getter,op.api-url-pathname-setter
idl.url-search	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-search-getter,op.api-url-search-setter
idl.url-search-params	idl.url-interface,idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.same-object,op.api-url-search-params-getter
idl.url-hash	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-hash-getter,op.api-url-hash-setter
idl.url-to-json	idl.url-interface,ext.webidl.bindings,ext.webidl.usvstring,op.api-url-href-getter-and-to-json
type.api-url-object-state	slot.api-url-record,slot.api-url-query-object,ext.webidl.platform-object-identity
slot.api-url-record	type.url-record
slot.api-url-query-object	type.api-url-search-params-object-state
op.api-url-parser	ext.infra.scalar-value-string,op.basic-url-parser
op.api-url-initialize	type.url-record,slot.url-query,slot.api-url-record,slot.api-url-query-object,slot.api-url-search-params-url-object,op.api-url-search-params-initialize,ext.webidl.platform-object-creation
op.api-url-extract-origin	slot.api-url-record,op.url-origin,ext.html.platform-object-extract-origin
op.api-url-constructor	op.api-url-parser,op.api-url-initialize,ext.webidl.throw-typeerror
op.api-url-parse	op.api-url-parser,op.api-url-initialize,ext.webidl.platform-object-creation
op.api-url-can-parse	op.api-url-parser
op.api-url-href-getter-and-to-json	op.url-serializer,slot.api-url-record
op.api-url-href-setter	op.basic-url-parser,ext.webidl.throw-typeerror,slot.api-url-record,slot.api-url-query-object,slot.api-url-search-params-list,slot.url-query,op.urlencoded-string-parser
op.api-url-origin-getter	slot.api-url-record,op.url-origin,ext.html.serialize-origin
op.api-url-protocol-getter	slot.api-url-record,slot.url-scheme
op.api-url-protocol-setter	op.basic-url-parser,slot.api-url-record,op.parser-scheme-start
op.api-url-username-getter	slot.api-url-record,slot.url-username
op.api-url-username-setter	slot.api-url-record,op.url-cannot-have-credentials-or-port,op.set-url-username
op.api-url-password-getter	slot.api-url-record,slot.url-password
op.api-url-password-setter	slot.api-url-record,op.url-cannot-have-credentials-or-port,op.set-url-password
op.api-url-host-getter	slot.api-url-record,slot.url-host,slot.url-port,op.host-serializer,op.serialize-integer
op.api-url-host-setter	slot.api-url-record,op.url-has-opaque-path,op.basic-url-parser,op.parser-host-and-hostname,op.url-port-string,slot.url-port
op.api-url-hostname-getter	slot.api-url-record,slot.url-host,op.host-serializer
op.api-url-hostname-setter	slot.api-url-record,op.url-has-opaque-path,op.basic-url-parser,op.parser-host-and-hostname
op.api-url-port-getter	slot.api-url-record,slot.url-port,op.serialize-integer
op.api-url-port-setter	slot.api-url-record,op.url-cannot-have-credentials-or-port,slot.url-port,op.basic-url-parser,op.parser-port
op.api-url-pathname-getter	op.url-path-serializer,slot.api-url-record
op.api-url-pathname-setter	slot.api-url-record,op.url-has-opaque-path,slot.url-path,ext.infra.list,op.basic-url-parser,op.parser-path-start
op.api-url-search-getter	slot.api-url-record,slot.url-query
op.api-url-search-setter	slot.api-url-record,slot.url-query,slot.api-url-query-object,slot.api-url-search-params-list,ext.infra.list,op.basic-url-parser,op.parser-query,op.urlencoded-string-parser
op.api-url-search-params-getter	slot.api-url-query-object
op.api-url-hash-getter	slot.api-url-record,slot.url-fragment
op.api-url-hash-setter	slot.api-url-record,slot.url-fragment,op.basic-url-parser,op.parser-fragment
idl.url-search-params-interface	ext.webidl.bindings,ext.webidl.interface-exposure
idl.url-search-params-constructor	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.optional-arguments,ext.webidl.union-conversion,ext.webidl.sequence-conversion,ext.webidl.record-conversion,op.api-url-search-params-constructor
idl.url-search-params-size	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.unsigned-long,op.api-url-search-params-size-getter
idl.url-search-params-append	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.undefined,op.api-url-search-params-append
idl.url-search-params-delete	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.optional-arguments,ext.webidl.undefined,op.api-url-search-params-delete
idl.url-search-params-get	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.nullable,op.api-url-search-params-get
idl.url-search-params-get-all	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.sequence-type,op.api-url-search-params-get-all
idl.url-search-params-has	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.optional-arguments,ext.webidl.boolean,op.api-url-search-params-has
idl.url-search-params-set	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.undefined,op.api-url-search-params-set
idl.url-search-params-sort	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.undefined,op.api-url-search-params-sort
idl.url-search-params-iterable	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.usvstring,ext.webidl.iterable,op.api-url-search-params-iteration
idl.url-search-params-stringifier	idl.url-search-params-interface,ext.webidl.bindings,ext.webidl.stringifier,op.api-url-search-params-stringification
rule.api-url-search-params-and-query-encoding	op.form-percent-encode-set,op.query-percent-encode-set,op.special-query-percent-encode-set,op.url-is-special,op.urlencoded-serializer,op.api-url-search-params-update,op.api-url-search-setter
