# Authored U2 semantic spans; partial input, not a census or coverage report.
# id	byte-start	byte-end	origin-ordinals	parent
op.forbidden-host-code-point	33146	33410	263	-
op.forbidden-domain-code-point	33410	33552	265	-
op.host-public-suffix	33552	34485	266	-
op.host-registrable-domain	34487	35559	275	-
requirement.public-suffix-security-advice	36873	37445	285	-
op.domain-to-ascii	37468	39881	287	-
op.domain-parser-to-ascii	39883	40494	309	-
op.domain-to-unicode	40496	41485	312	-
op.valid-host-string	41546	41769	322	-
op.valid-domain	41769	42182	324	-
op.valid-domain-string	42394	42512	332	-
op.valid-ipv4-address-string	42512	42754	334	-
op.valid-ipv6-address-string	42754	43362	336	-
op.valid-ipv6-pieces-and-ipv4-string	43364	43577	342	-
op.valid-ipv6-pieces-string	43577	43708	344	-
op.valid-ipv6-piece-string	43708	43878	346	-
op.effective-ipv6-piece-length	43878	44169	348	-
op.valid-opaque-host-string	44342	44616	351	-
op.host-parser	44780	46642	357	-
op.ends-in-a-number	46650	47785	377	-
op.ipv4-parser	47787	50501	390	-
op.ipv4-number-parser	50503	52240	420	-
op.ipv6-parser	52248	57842	441	-
op.opaque-host-parser	57850	58724	504	-
op.host-serializer	58774	59440	513	-
op.ipv4-serializer	59442	60142	520	-
op.ipv6-serializer	60144	61716	532	-
op.ipv6-compressed-piece-index	61718	63065	552	-
op.host-equality	63115	63358	573	-
rule.url-operation-contracts	63886	64834	578,579,580,581,582,583	-
type.url-record	67620	73091	588	-
slot.url-scheme	67852	68145	590	type.url-record
slot.url-username	68145	68313	592	type.url-record
slot.url-password	68313	68481	594	type.url-record
slot.url-host	68481	68611	596	type.url-record
rule.url-scheme-host-combinations	68611	69322	597,598	type.url-record
slot.url-port	69322	69512	600	type.url-record
slot.url-path	69512	69726	602	type.url-record
rule.special-url-path-is-list	69726	69902	603	type.url-record
slot.url-query	69902	70044	605	type.url-record
slot.url-fragment	70044	70297	607	type.url-record
slot.url-blob-entry	70297	70486	609	type.url-record
type.url-path	72207	72341	614	type.url-record
type.url-path-segment	72341	72491	616	type.url-record
op.single-dot-path-segment	72491	72769	618	type.url-record
op.double-dot-path-segment	72769	73091	620	type.url-record
rule.special-schemes-and-default-ports	73140	73729	623,624	-
op.url-is-special	73731	73946	627,628	-
op.url-includes-credentials	73946	74165	630	-
op.url-has-opaque-path	74165	74296	632	-
op.url-cannot-have-credentials-or-port	74296	74483	634	-
type.base-url-role	74483	74568	636	-
op.windows-drive-letter	74697	74850	639	-
op.normalized-windows-drive-letter	74850	74978	641	-
rule.windows-drive-letter-writing-conformance	74978	75113	642	-
op.starts-with-windows-drive-letter	75113	75549	644	-
op.shorten-url-path	75837	76388	647	-
op.valid-url-string	76518	76683	657	-
op.absolute-url-with-fragment-string	76683	76890	659	-
op.absolute-url-string	76890	77803	661	-
op.url-scheme-string	77803	78143	668	-
op.relative-url-with-fragment-string	78143	78466	670	-
op.relative-url-string	78466	79099	672	-
rule.relative-url-base-requirement	79099	79234	682	-
op.scheme-relative-special-url-string	79234	79482	684	-
op.url-port-string	79482	79741	686	-
op.scheme-relative-url-string	79743	79964	691	-
op.opaque-host-and-port-string	79964	80152	693	-
op.scheme-relative-file-url-string	80152	80477	695	-
op.path-absolute-url-string	80479	80679	700	-
op.path-absolute-non-authority-url-string	80679	80830	702	-
op.path-relative-url-string	80830	81037	704	-
op.path-relative-scheme-less-url-string	81037	81262	706	-
op.opaque-path-url-string	81262	81417	708	-
op.url-path-segment-string	81417	81815	710	-
op.url-query-string	81817	81921	716	-
op.url-fragment-string	81921	82031	718	-
op.url-code-points	82031	83039	720	-
rule.url-non-ascii-percent-encoding	83039	83195	721	-
rule.url-query-legacy-encoding	83195	83657	722	-
op.url-units	84156	84246	726	-
rule.url-percent-encoded-units	84246	84396	727	-
rule.valid-url-string-has-no-credentials	84402	84561	728	-
op.url-parser	84598	85835	730	-
op.basic-url-parser	85843	119012	741	-
op.parser-scheme-start	88235	88913	763	op.basic-url-parser
op.parser-scheme	88913	92302	769	op.basic-url-parser
op.parser-no-scheme	92302	93426	800	op.basic-url-parser
op.parser-special-relative-or-authority	93426	93969	806	op.basic-url-parser
op.parser-path-or-authority	93969	94298	810	op.basic-url-parser
op.parser-relative	94298	96249	814	op.basic-url-parser
op.parser-relative-slash	96249	97284	830	op.basic-url-parser
op.parser-special-authority-slashes	97284	97848	838	op.basic-url-parser
op.parser-special-authority-ignore-slashes	97848	98259	842	op.basic-url-parser
op.parser-authority	98259	100436	846	op.basic-url-parser
op.parser-host-and-hostname	100436	103274	869,870	op.basic-url-parser
op.parser-port	103274	105069	897	op.basic-url-parser
op.parser-file	105069	107374	917	op.basic-url-parser
op.parser-file-slash	107374	108697	941	op.basic-url-parser
op.parser-file-host	108697	110488	955	op.basic-url-parser
op.parser-path-start	110488	111825	975	op.basic-url-parser
op.parser-path	111825	114822	989	op.basic-url-parser
op.parser-opaque-path	114822	116259	1018	op.basic-url-parser
op.parser-query	116259	118265	1032	op.basic-url-parser
op.parser-fragment	118265	118962	1055	op.basic-url-parser
op.set-url-username	119020	119337	1063	-
op.set-url-password	119339	119656	1066	-
op.url-serializer	119704	122186	1070	-
op.url-path-serializer	122188	122781	1092	-
op.url-equality	122829	123639	1101	-
requirement.origin-html-dependency	123713	123837	1110	-
op.url-origin	123837	125742	1111	-
requirement.rendering-security-decision-scope	125864	130224	1127	-
requirement.rendering-simplification	126296	127633	1129,1130	requirement.rendering-security-decision-scope
requirement.rendering-host-simplification-permission	126420	127007	1131	requirement.rendering-simplification
requirement.rendering-credential-suppression	127011	127252	1132	requirement.rendering-simplification
requirement.rendering-scheme-display-permission	127256	127628	1133	requirement.rendering-simplification
requirement.rendering-elision	127678	128462	1135,1136	requirement.rendering-security-decision-scope
requirement.rendering-registrable-domain-visibility	127818	128060	1137	requirement.rendering-elision
requirement.rendering-domain-label-elision	128064	128457	1138	requirement.rendering-elision
requirement.rendering-internationalization	128540	130224	1140,1141	requirement.rendering-security-decision-scope
requirement.rendering-domain-to-unicode	128688	128875	1142	requirement.rendering-internationalization
requirement.rendering-confusable-character-advice	128875	129051	1143	requirement.rendering-internationalization
requirement.rendering-constrained-percent-decoding	129055	129677	1144	requirement.rendering-internationalization
requirement.rendering-bidi-embedding	129684	130219	1145,1146	requirement.rendering-internationalization
type.urlencoded-tuple-list-format	130324	130534	1149	-
rule.urlencoded-utf8-conformance	131201	131481	1152	-
op.urlencoded-parser	131481	133376	1153	-
op.urlencoded-serializer	133474	134970	1169	-
op.urlencoded-string-parser	135009	135355	1183	-
requirement.api-support-audiences	135376	135671	1185	-
idl.url-interface	135720	135777	1187	-
idl.url-constructor	135780	135832	1188	-
idl.url-parse	135836	135894	1189	-
idl.url-can-parse	135897	135961	1190	-
idl.url-href	135965	136002	1191	-
idl.url-origin	136005	136041	1192	-
idl.url-protocol	136053	136082	1193	-
idl.url-username	136094	136123	1194	-
idl.url-password	136135	136164	1195	-
idl.url-host	136176	136201	1196	-
idl.url-hostname	136213	136242	1197	-
idl.url-port	136254	136279	1198	-
idl.url-pathname	136291	136320	1199	-
idl.url-search	136332	136359	1200	-
idl.url-search-params	136362	136423	1201	-
idl.url-hash	136435	136460	1202	-
idl.url-to-json	136464	136483	1203	-
type.api-url-object-state	136495	136740	1204,1205	-
slot.api-url-record	136553	136630	1206	type.api-url-object-state
slot.api-url-query-object	136630	136735	1207	type.api-url-object-state
op.api-url-parser	136742	137366	1208	-
op.api-url-initialize	137368	138046	1218	-
op.api-url-extract-origin	138048	138277	1227	-
op.api-url-constructor	138285	138759	1229	-
op.api-url-parse	139935	140439	1240	-
op.api-url-can-parse	140441	140809	1249	-
op.api-url-href-getter-and-to-json	140837	141105	1256	-
op.api-url-href-setter	141107	141872	1260	-
op.api-url-origin-getter	141874	142107	1269	-
op.api-url-protocol-getter	142109	142298	1272	-
op.api-url-protocol-setter	142300	142668	1275	-
op.api-url-username-getter	142670	142837	1277	-
op.api-url-username-setter	142839	143167	1280	-
op.api-url-password-getter	143169	143336	1285	-
op.api-url-password-setter	143338	143666	1288	-
op.api-url-host-getter	143668	144276	1293	-
op.api-url-host-setter	144278	145073	1301	-
op.api-url-hostname-getter	145075	145404	1307	-
op.api-url-hostname-setter	145406	145858	1313	-
op.api-url-port-getter	145860	146190	1318	-
op.api-url-port-setter	146192	146777	1324	-
op.api-url-pathname-getter	146779	146962	1330	-
op.api-url-pathname-setter	146964	147505	1333	-
op.api-url-search-getter	147507	147846	1339	-
op.api-url-search-setter	147848	148807	1345	-
op.api-url-search-params-getter	148809	148963	1354	-
op.api-url-hash-getter	148965	149308	1357	-
op.api-url-hash-setter	149310	149992	1363	-
idl.url-search-params-interface	150072	150111	1371	-
idl.url-search-params-constructor	150114	150232	1372	-
idl.url-search-params-size	150236	150274	1373	-
idl.url-search-params-append	150278	150328	1374	-
idl.url-search-params-delete	150331	150390	1375	-
idl.url-search-params-get	150393	150424	1376	-
idl.url-search-params-get-all	150427	150473	1377	-
idl.url-search-params-has	150476	150530	1378	-
idl.url-search-params-set	150533	150580	1379	-
idl.url-search-params-sort	150584	150601	1380	-
idl.url-search-params-iterable	150605	150639	1381	-
idl.url-search-params-stringifier	150642	150654	1382	-
rule.api-url-search-params-and-query-encoding	150977	152303	1384,1385,1386	-
type.api-url-search-params-object-state	152311	152702	1387,1388	-
slot.api-url-search-params-list	152381	152562	1389	type.api-url-search-params-object-state
slot.api-url-search-params-url-object	152562	152697	1390	type.api-url-search-params-object-state
op.api-url-search-params-initialize	152704	153795	1391	-
op.api-url-search-params-update	153797	154449	1404	-
op.api-url-search-params-constructor	154451	154843	1412	-
op.api-url-search-params-size-getter	154845	155030	1418	-
op.api-url-search-params-append	155032	155358	1421	-
op.api-url-search-params-delete	155360	155922	1427	-
op.api-url-search-params-get	155924	156229	1434	-
op.api-url-search-params-get-all	156231	156525	1437	-
op.api-url-search-params-has	156527	157074	1440	-
op.api-url-search-params-set	157076	157665	1447	-
op.api-url-search-params-sort	158397	158822	1456	-
op.api-url-search-params-iteration	158830	159004	1462	-
op.api-url-search-params-stringification	159004	159191	1464	-
requirement.external-api-url-exposure	159242	159585	1466	-
requirement.external-api-url-naming	159692	160022	1468	-
