#url-source-assignments format=1 generator=Gates.UrlCensusInput input-sha256=a5aa827f544f9077912dc1553cfd9025b6afa4e996460074b5f67d83e0f3c805 candidates=1473
#ordinal	kind	byte-start	byte-end	span-sha256	label	section	owner	reason
#input spans-sha256=444f54d5563bb8f21d04866cfc4e9dcc4ef7e1ccb380afb6f414f1b6153c23e2
#input explanations-sha256=6cd87e7a3e9e246692fc36cc52f41ed5834a45d5f66b569442c30c0cf87b7466
#input dispositions-sha256=766a539e43db1909506a938bdcb156111535a8189c542e2529885f31b6224a90
#input overrides-sha256=c2ce025fde1d98c03c28f6818269e8ab21d5e13e43a4aa4ec8e3a3339182e81c
#input dependencies-sha256=2fb67b7f4e4cab820b69a8b5125929e75b882c9e061f5323eff40cff0d5350b8
#input externals-sha256=492ba571becb2eadd939d74ff28c6689bcc0d09b1e6e661025d7f4621955a6ad
11	prose	2483	2548	8f3fcb0fd02b945e4f589226b5cb8fa7be1edec5fbb6a82574cbd13d583e835e	This specification depends on Infra. [[!INFRA]]	infrastructure	requirement.infra-dependency	
12	prose	2548	2649	562eaf5832e6e42d9b3f27bebaf1519e0b9a198cb3010dce8c8e9866127ef00b	Some terms used in this specification are defined in the following standards and specifications:	infrastructure	requirement.external-term-sources	
13	list	2649	2890	34c305089a7aebf45db9cddea36c1f1bbf9b820800d303ed17b32cf035e7b448	ul	infrastructure	requirement.external-term-sources	
14	prose	2898	2993	c6403da606a0006e2866d5100f9a8930a8dc8add709c42146d265839db80b82e	To serialize an integer, represent it as the shortest possible decimal number.	infrastructure	op.serialize-integer	
15	definition	2904	2935	953f451f7b230082d85c50b51c76edc62cc107b7d8b7e64646b91b1ee195ae61	serialize an integer	infrastructure	op.serialize-integer	
16	heading	2993	3020	01c462f1002b8353ebbe0a85674f854a9760881b660fad5639a6ab42fbad9e99	Writing	writing	-	structural heading
17	prose	3022	3219	9fc10f066e138fd13f81a571df9da4d005096ecc96374766b87f1b3e794fbd98	A validation error indicates a mismatch between input and valid input. User agents, especially conformance checkers, are encouraged to report them somewhere.	writing	type.validation-error	
18	definition	3027	3078	d202d774dbf1e2341e70e58a78189773ba034a2c95f08839f6073e3c71310c2c	validation error	writing	type.validation-error	
19	prose	3237	3398	04e07825eacef577ea1c5553d3bf9cc65dbb7bc8fb534f7d9bda67e94b952c66	A validation error does not mean that the parser terminates. Termination of a parser is always stated explicitly, e.g., through a return statement.	writing	type.validation-error	
20	prose	3398	3626	5c5268e7065768613a41feb723a12fe071933902a059f4b1f767f82e1599562c	It is useful to signal validation errors as error-handling can be non-intuitive, legacy user agents might not implement correct error-handling, and the intent of what is written might be unclear to other developers.	writing	type.validation-error	
21	table	3634	14653	f0724c5b0744de62ac00933945de7b0075a2f7e9298bce6879b152453fd9636f	table	writing	type.validation-error	
22	definition	4074	4136	2673d6e8c66cdba47225a99e287d33941b5ef7107a71370268e6b5d1cf55324e	validation-error-domain-to-ascii	writing	rule.validation-domain-to-ascii	
23	prose	4149	4333	548b9412b679c4353a2e420b38d01852472a93b76de8176c823ae08d6b1b045c	Unicode ToASCII records an error when CheckHyphens, UseSTD3ASCIIRules, and VerifyDnsLength are all set to true. [[UTS46]]	writing	rule.validation-domain-to-ascii	
24	prose	4333	4487	9ed15ec37fc94e09564ab1d77770e6b50a71591940b2e8622d7bfe99b7c13842	If details about Unicode ToASCII errors are recorded, user agents are encouraged to pass those along.	writing	rule.validation-domain-to-ascii	
25	prose	4549	4784	1f7afe2093a549c788cf4553750fa67a9c9f86051dd94e2ce35caa622eb910cc	Hosts are percent-decoded before being processed when the URL is special, which would result in the following host portion becoming "exa#mple.org" and thus triggering this error.	writing	rule.validation-domain-to-ascii	
26	prose	4784	4829	f8c20767100684087fa8ec70065b86ef8276afb3db37d57706e74f661898719a	"https://exa%23mple.org"	writing	rule.validation-domain-to-ascii	
27	definition	5176	5209	63e3f41237c0275ddad4e2881e6f55883dfe9e7f682db582e925f56ff2484970	domain-percent-encoded	writing	rule.validation-domain-percent-encoded	
28	prose	5222	5331	8b0623070e67b9580dca3fc6ac0f47ecde45f1c1930125c30c96d7e58a59c94e	The input's host to be processed as a domain contains a percent-encoded byte.	writing	rule.validation-domain-percent-encoded	
29	prose	5331	5422	bb6030ba12d20bcbf972739cf2bc51a19b11ba00a3cfce54ef6aac3c2e52731b	"https://exam%70le.org"	writing	rule.validation-domain-percent-encoded	
30	definition	5482	5516	314e6f306e23414bbf40e0b0f0fef5029fc3bfff916b9e4c798f8a423e120572	host-invalid-code-point	writing	rule.validation-host-invalid-code-point	
31	prose	5529	5645	8da458ba209663ee4677a0f30e6a79db0df62684a6234a0ab60e20d7feff27cc	An opaque host (in a URL that is not special) contains a forbidden host code point.	writing	rule.validation-host-invalid-code-point	
32	prose	5645	5734	e802439306c839b2b46717926cf9d48ff77811e23fa3b1721966d3745a0d06ab	"foo://exa[mple.org"	writing	rule.validation-host-invalid-code-point	
33	definition	5789	5815	89b3f415fe4422dc496016f0f911bfd6953a8ffbc5089c2be275e932ed0716f6	IPv4-empty-part	writing	rule.validation-ipv4-empty-part	
34	prose	5828	5888	a35b28401926c5f1382216df632c589a3fd6140be2b4d06bfefcf37360e393e6	An IPv4 address ends with a U+002E (.).	writing	rule.validation-ipv4-empty-part	
35	prose	5888	5970	d01479eb636316251bbb962fc81ca65ea1a175917cbb6eff58636982fa21bfa7	"https://127.0.0.1./"	writing	rule.validation-ipv4-empty-part	
36	definition	6000	6029	38498d4653ede88ce4001acee5f1f7e6109ea8ed1c7c5c3432242da456d925e8	IPv4-too-few-parts	writing	rule.validation-ipv4-too-few-parts	
37	prose	6042	6102	bcf0cf234756e958906851caf20f9c6dc4ff03348ce8551006db1c4028d3e42c	An IPv4 address has fewer than 4 parts.	writing	rule.validation-ipv4-too-few-parts	
38	prose	6102	6182	357743c1158e3c1b6986dc634b2c5081378628305a3095fedd166da451f6377b	"https://1.2.3/"	writing	rule.validation-ipv4-too-few-parts	
39	definition	6212	6242	48fe54d5c66d5282ef5deed8f9491372fa79b6b05ab08ccbbaeabb5fcbf20f8f	IPv4-too-many-parts	writing	rule.validation-ipv4-too-many-parts	
40	prose	6255	6314	f7d08b684dc5b257d1dadeb3faaae20507589a93be6320f80b33d55c70d5bf7a	An IPv4 address has more than 4 parts.	writing	rule.validation-ipv4-too-many-parts	
41	prose	6314	6399	20f6eb8efab9d24331a16a9362ba6c45b3c6bc00bb0543fddc4bad9b85bfacb1	"https://1.2.3.4.5/"	writing	rule.validation-ipv4-too-many-parts	
42	definition	6431	6463	c1892f237e8ce49bc1d320eb7a83e93193477d4b18fb825203859f33c9868e7a	IPv4-non-numeric-part	writing	rule.validation-ipv4-non-numeric-part	
43	prose	6476	6533	41801b2910f4cbb914d0070cc9e7236ed2d3c07b2aa3c97b92dff80575265140	An IPv4 address part is not numeric.	writing	rule.validation-ipv4-non-numeric-part	
44	prose	6533	6617	8e5ec4199ee256e8322b7aaa3f44db26bbe4aee10600b10ea5476aedc992e80a	"https://test.42"	writing	rule.validation-ipv4-non-numeric-part	
45	definition	6649	6681	1f173b89f66eab4dde422cbc06da29ef66a731a88eb469696cc22d6e076910e2	IPv4-non-decimal-part	writing	rule.validation-ipv4-non-decimal-part	
46	prose	6694	6793	c20ca924e6cb766b9a3fe72c5dba5b3d0b4197e2d031e196dc59794241a59d5f	The IPv4 address contains numbers expressed using hexadecimal or octal digits.	writing	rule.validation-ipv4-non-decimal-part	
47	prose	6793	6881	034553b17a6b6e9cd58a99f3b7d651c8aad18da5abfe9e40a85ed342fc37ebba	"https://127.0.0x0.1"	writing	rule.validation-ipv4-non-decimal-part	
48	definition	6911	6944	47306d942159ee08145968fe943a04417440998f935a6ebc4998dc395ececb43	IPv4-out-of-range-part	writing	rule.validation-ipv4-out-of-range-part	
49	prose	6957	7011	eab75047b8a045ed85f03faa805faa0cfe7555d0ba4d24625cd9170edbfaf638	An IPv4 address part exceeds 255.	writing	rule.validation-ipv4-out-of-range-part	
50	prose	7011	7103	9bf277628d6693b45968f3105f4d5326607055ad6db7ef46ee8d2763715c3716	"https://255.255.4000.1"	writing	rule.validation-ipv4-out-of-range-part	
51	definition	7176	7207	259dd880964b8a47195d014e40985a3a70a851b986c9c0f6875dd5f5d0f2db51	IPv4-non-ASCII-input	writing	rule.validation-ipv4-non-ascii-input	
52	prose	7220	7327	adc9290c3ba003578d01b06492ff883d2cc87557b8a6fcd889fffee91daad0f5	An IPv4 address is derived from a non-ASCII string through IDNA processing.	writing	rule.validation-ipv4-non-ascii-input	
53	prose	7327	7418	8a49b14db7b5722cfa4e2abb8f8f75e50b445aeaa60d2be5cfcd3a3317a4e3b3	"https://①.②.③.④"	writing	rule.validation-ipv4-non-ascii-input	
54	definition	7495	7519	d10456ef6568e2b2351911c6ad7fa63dd654f8849adce92cb9bd721779de32f4	IPv6-unclosed	writing	rule.validation-ipv6-unclosed	
55	prose	7532	7603	98417f8c9f1a49de84bfed2dfb2f1456dce1ecdc9878f65963c489c57da35fb0	An IPv6 address is missing the closing U+005D (]).	writing	rule.validation-ipv6-unclosed	
56	prose	7603	7677	61cb679e0174d637d5947b9309bc19a9c7de784743a270636d8a441cda1784f3	"https://\\[::1"	writing	rule.validation-ipv6-unclosed	
57	definition	7732	7767	1f204c96b5c21f1c8287d8362d7c6916fd0284237321e4e14036b33775babecc	IPv6-invalid-compression	writing	rule.validation-ipv6-invalid-compression	
58	prose	7780	7850	c2c33e4a8580e86977da682a035808dc4fe4008786a0ac10893a1a7b7cb77bac	An IPv6 address begins with improper compression.	writing	rule.validation-ipv6-invalid-compression	
59	prose	7850	7935	3dbe333765775e696687c77141cac9c342418ad604c798b1ce8b369cc629f549	"https://\\[:1]"	writing	rule.validation-ipv6-invalid-compression	
60	definition	7967	7998	585dc76b47505697123c7dd9a527adfa0b1e404f13fb986d96d46ff75b876826	IPv6-too-many-pieces	writing	rule.validation-ipv6-too-many-pieces	
61	prose	8011	8076	5a2e2a78260f13440725cb08b75d92ef90ef63db6369c7c4ca10323b6a2b1700	An IPv6 address contains more than 8 pieces.	writing	rule.validation-ipv6-too-many-pieces	
62	prose	8076	8171	9cd1f0e0fb46beb0a2d5e84e55c4e1dc86cf0b8b6e5aaca7ac36c3a1405020ef	"https://[1:2:3:4:5:6:7:8:9]"	writing	rule.validation-ipv6-too-many-pieces	
63	definition	8203	8239	1b2a6b072993134aaab5f01f05e7808c8f8899a8dcedf42cca1b5b62a2febe50	IPv6-multiple-compression	writing	rule.validation-ipv6-multiple-compression	
64	prose	8252	8325	c7d22fbb4e2334912360640040010ba3a64c7913eecf72b56bf45043af433a19	An IPv6 address is compressed in more than one spot.	writing	rule.validation-ipv6-multiple-compression	
65	prose	8325	8415	5c22b4202080c41ab878cb64186bf73272d5f7036c66928f7a65e241728e9255	"https://[1::1::1]"	writing	rule.validation-ipv6-multiple-compression	
66	definition	8447	8481	1f27c3234290550b09264af51eab2e248710457796e7395446e6567909682a44	IPv6-invalid-code-point	writing	rule.validation-ipv6-invalid-code-point	
67	prose	8494	8641	9aca219fbddfeeeb32d7572f77fc700e5c2e169f2f4dfe65b27ff4c8a22740bf	An IPv6 address contains a code point that is neither an ASCII hex digit nor a U+003A (:). Or it unexpectedly ends.	writing	rule.validation-ipv6-invalid-code-point	
68	prose	8701	8743	07296ab2febbb1c232503ed2a80bdeda513b92080d37ef65c66e7e8c42665fa6	"https://[1:2:3!:4]"	writing	rule.validation-ipv6-invalid-code-point	
69	prose	8743	8782	3a41440c9dfe37fec552a2ebf8d113bdf20785d102109e65a5d27a7e05a97561	"https://[1:2:3:]"	writing	rule.validation-ipv6-invalid-code-point	
70	definition	8824	8854	a0bf847d87eda46b8ba9d8c9955032311037037a2b923a7b5512a0b90b39c6b3	IPv6-too-few-pieces	writing	rule.validation-ipv6-too-few-pieces	
71	prose	8867	8946	909f2debcdd056faa30c33a2a3447779b9e89f19735e29ed062a8bdd56521492	An uncompressed IPv6 address contains fewer than 8 pieces.	writing	rule.validation-ipv6-too-few-pieces	
72	prose	8946	9028	6c56c771486ea9441777694531b3e3c1d17d5fea53e1c49aa0c68e607f5725d1	"https://[1:2:3]"	writing	rule.validation-ipv6-too-few-pieces	
73	definition	9060	9094	aa6849702cd2a872f53c3337b30fadaa77c1cb7f66062567d0c82520b5a3f605	IPv6-piece-leading-zero	writing	rule.validation-ipv6-piece-leading-zero	
74	prose	9107	9206	e5ed37432ceaf4f493ee2327e5584d4bde565ead250f6f29d96d17e3af6fa096	An IPv6 address piece contains a leading U+0030 (0).	writing	rule.validation-ipv6-piece-leading-zero	
75	prose	9206	9292	720c787854de71b202ba1f3a723d8214f96f9ca523877b91cc55d3c5214c0455	"https://\\[::01]"	writing	rule.validation-ipv6-piece-leading-zero	
76	definition	9322	9361	8106614707e5c900ecc4dcd0c16145cbd498bb7278152033c8eb6b76da9db4d9	IPv4-in-IPv6-too-many-pieces	writing	rule.validation-ipv4-in-ipv6-too-many-pieces	
77	prose	9374	9494	abd2dca5afa8ff23af9d77998822d6bc0d2dc091b263bb97c94b817d7155cbcf	An IPv6 address with IPv4 address syntax: the IPv6 address has more than 6 pieces.	writing	rule.validation-ipv4-in-ipv6-too-many-pieces	
78	prose	9494	9603	2b8b46dca64f45653e84189d117aacbd83f650aa65a73182acee4ce32871d5ce	"https://[1:1:1:1:1:1:1:127.0.0.1]"	writing	rule.validation-ipv4-in-ipv6-too-many-pieces	
79	definition	9635	9677	0c8c5ac2eed43c87ae956eb1b9283d548148b8017253fd2ceebaa0b5a998ab59	IPv4-in-IPv6-invalid-code-point	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
80	prose	9690	9765	7dd5d6d9522f6f7756141938b5b3b2c7fd56a0b0fc0aa011c277540b65f56a9a	An IPv6 address with IPv4 address syntax:	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
81	list	9765	9932	a63ba0beb0dff266207b5b52dbc1eabe16bdc00e1c95e80c950b6a10964330fe	ul	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
82	prose	10005	10051	b9f29446df3980fd7da82e1db0555fb3a116cd36fd614f77055c6d489793bd72	"https://[ffff::.0.0.1]"	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
83	prose	10051	10102	0d4070db8496800acd4aeba66084f8c9582211c4378fbf20bf10d17f1b48130f	"https://[ffff::127.0.xyz.1]"	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
84	prose	10102	10150	6b74a9d31e1c61e91c31b2807df70bb11c585069cd1b403fe5c05a1a4182fa59	"https://[ffff::127.0xyz]"	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
85	prose	10150	10200	2a20f2a9bf126fc1e6e1cb44a67d2bd4f4899dbd3dd830a7a75051cb3e796912	"https://[ffff::127.00.0.1]"	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
86	prose	10200	10250	87b87fda0e9ba36b046a878b14689bf22c92bef6263422903d6cfa359e387a45	"https://[ffff::127.0.0.1.2]"	writing	rule.validation-ipv4-in-ipv6-invalid-code-point	
87	definition	10292	10333	f740ed771bef90cd05f896ffe545ba1004410ea46caba36abe9a0b85dbd0e64e	IPv4-in-IPv6-out-of-range-part	writing	rule.validation-ipv4-in-ipv6-out-of-range-part	
88	prose	10346	10447	cc6aaac0bec9a09bd87eab794a80c4ade717aae86b8cbf6516b96604585969aa	An IPv6 address with IPv4 address syntax: an IPv4 part exceeds 255.	writing	rule.validation-ipv4-in-ipv6-out-of-range-part	
89	prose	10447	10553	1742b8ac9b086029c4922ccf1a889a48d1f223ed0c2177eaf585b3fe5a54a025	"https://[ffff::127.0.0.4000]"	writing	rule.validation-ipv4-in-ipv6-out-of-range-part	
90	definition	10585	10622	39a705455218da82526b1045c92f76898ed08fd1a1af373e41461c18d5843515	IPv4-in-IPv6-too-few-parts	writing	rule.validation-ipv4-in-ipv6-too-few-parts	
91	prose	10635	10754	256b6c55526aa8fb688b5157f34564be089279a582a2cf967e570f1c8f72a6a5	An IPv6 address with IPv4 address syntax: an IPv4 address contains too few parts.	writing	rule.validation-ipv4-in-ipv6-too-few-parts	
92	prose	10754	10851	8acf5c08fb0a69e347a934f28298c3de26ca91799379a3c2a6c69e76744da77d	"https://[ffff::127.0.0]"	writing	rule.validation-ipv4-in-ipv6-too-few-parts	
93	definition	11080	11107	968551649e95953b2467edff61d659e1d55f528036a2bc2d4ce839d68e031713	invalid-URL-unit	writing	rule.validation-invalid-url-unit	
94	prose	11120	11180	fe7efc2cb77fdd5a2b2b2e1739e0ba7a7388eae4de91ab4daf31745e1b7d43b3	A code point is found that is not a URL unit.	writing	rule.validation-invalid-url-unit	
95	prose	11233	11278	8ca124d71798f6e47f968ae7d409130ad62569a54b580d70d89942c197896317	"https://example.org/>"	writing	rule.validation-invalid-url-unit	
96	prose	11278	11323	82397b908a70675bc0ca633ffa1153d4973f9dc90296cd916890cdcf69697093	" https://example.org "	writing	rule.validation-invalid-url-unit	
97	prose	11323	11370	343a2eed5e8a6df7bc4b0cfc404b220ee924bd70c1c315fb8ed4257d1eeaf862	"https://example.org"	writing	rule.validation-invalid-url-unit	
98	prose	11370	11415	08514d04499cf22f24b9471f0c4b67ecd0603c88135a22e5035dd37db024f2f6	"https://example.org/%s"	writing	rule.validation-invalid-url-unit	
99	definition	11455	11506	6131ae98089bec4354065ef950abce06a0030728586a5ca5eb316f314cef80b3	special-scheme-missing-following-solidus	writing	rule.validation-special-scheme-missing-solidus	
100	prose	11519	11583	2b00c6664bf9d933b80070cdc416ca246f827682f27971f04752b1006a39d3ca	The input's scheme is not followed by "//".	writing	rule.validation-special-scheme-missing-solidus	
101	prose	11660	11708	e98f08e1498f8e6247a65b92a176b91f12b63d4d6dc0213d8321da5d45be81ae	"file:c:/my-secret-folder"	writing	rule.validation-special-scheme-missing-solidus	
102	prose	11708	11749	8fc33af8690a321d1f868821ef89b63986300b7139f661fd5c5f5a80504a2d75	"https:example.org"	writing	rule.validation-special-scheme-missing-solidus	
103	definition	11905	11947	b58e9099d57d6d9eee23a96b8ef944db042399d1f364aaead12c84330ea88666	missing-scheme-non-relative-URL	writing	rule.validation-missing-scheme-non-relative-url	
104	prose	11960	12223	41b0cb38acd55e1957d40ed7a7974b28d4dabb4540ce6dbf0d7ed9a8c8d47d24	The input is missing a scheme, because it does not begin with an ASCII alpha, and either no base URL was provided or the base URL cannot be used as a base URL because it has an opaque path.	writing	rule.validation-missing-scheme-non-relative-url	
105	prose	12291	12373	fe6e88171109136949e6cffc99b217a93173f6c7aedf8c248dec6dd682056cf4	Input's scheme is missing and no base URL is given:	writing	rule.validation-missing-scheme-non-relative-url	
106	prose	12454	12568	2ac5d18a2bdaa77b0bd6e1e26b95805130799bf1f8ba8ab9bf38c97e6fb4dac6	Input's scheme is missing, but the base URL has an opaque path.	writing	rule.validation-missing-scheme-non-relative-url	
107	definition	12717	12751	6023752a6bcb1282e9235a3c70a53fe7e926090a5aa1a25bade65cb83df0e991	invalid-reverse-solidus	writing	rule.validation-invalid-reverse-solidus	
108	prose	12764	12853	678ce33c2a1b2117998f49e7418ceb8dd5876a3fcfb1a3a400834c492ab00669	The URL has a special scheme and it uses U+005C (\\) instead of U+002F (/).	writing	rule.validation-invalid-reverse-solidus	
109	prose	12853	12956	b077e7dbd0cb100e026d92df47e392d99c1260f50488910c63d79251717fc2d7	"https://example.org\\path\\to\\file"	writing	rule.validation-invalid-reverse-solidus	
110	definition	12986	13016	5ff63cc85a6d6fefc4ed4f45663e7121b91609545fa85ec87398217f04f97473	invalid-credentials	writing	rule.validation-invalid-credentials	
111	prose	13029	13075	b5a95002a9c15a5e72f65e154c9499f983b91f23bd61836de02fcc43ca869572	The input includes credentials.	writing	rule.validation-invalid-credentials	
112	prose	13131	13179	06477b88a0368aafa67d2721dcd8689cbe97e4708ce5008ebed33633c42d2674	"https://user@example.org"	writing	rule.validation-invalid-credentials	
113	prose	13179	13224	5931fde37e15bbbd0b45c74633df550ce520829b5fbbe79b99299d4cdf3354a9	"ssh://user@example.org"	writing	rule.validation-invalid-credentials	
114	definition	13264	13287	38462c5644e2f2974e98d6cd7dfa6a12cb7dab860ab17f04ac99427399e32bdc	host-missing	writing	rule.validation-host-missing	
115	prose	13300	13388	da97bee8e9857545e8ed28f8896f81fd1fa5b13c3779f995528aa4e11c6cd1e0	The input has a special scheme, but does not contain a host.	writing	rule.validation-host-missing	
116	prose	13437	13478	5f2b10bc433d5583222485ef631ba542adbb9ac0fcde2c17296f377f40e08db1	"https://#fragment"	writing	rule.validation-host-missing	
117	prose	13478	13514	55d8cb082b998d7365a339dc2cc0cc45633568695fbf68a0d2d79a93c47b29b6	"https://:443"	writing	rule.validation-host-missing	
118	prose	13514	13555	2c95f6388f979ca80425516e4aaec75ec4e73f53647030903b30835452b01a89	"https://user:pass@"	writing	rule.validation-host-missing	
119	definition	13597	13625	7240e11d67b59aba54035dc3bd2b10b05054ab0ed24cc4672596fd5cc2243791	port-out-of-range	writing	rule.validation-port-out-of-range	
120	prose	13638	13674	2c8b19362e8aae95f7439d9a1a46111d6d6ba3cf17b6e34e201fac58f5872187	The input's port is too big.	writing	rule.validation-port-out-of-range	
121	prose	13674	13764	66eb1adaa78d9ae34e2acc58f3f7788cb421e07556fb86f39b32094c050b2c3b	"https://example.org:70000"	writing	rule.validation-port-out-of-range	
122	definition	13796	13819	1c26d219d800d952da2ac82c7debfd0e652b5ce8f3a01573adcc0e6eb9c8a85a	port-invalid	writing	rule.validation-port-invalid	
123	prose	13832	13868	aa2f8cae1116565e822b7c7ce44a681c5c45d9569cd40d56c3dcf40b03058381	The input's port is invalid.	writing	rule.validation-port-invalid	
124	prose	13868	13950	af5e1c58a140fe7af4d04eeb6a20c838b318a42bb43df20dc8a1cdb88749ed99	"https://example.org:7z"	writing	rule.validation-port-invalid	
125	definition	13982	14026	d7bdd1fd7faaffe92dcde50d3d0e1595079b69c5797ec1a763399d9e4220b65a	file-invalid-Windows-drive-letter	writing	rule.validation-file-invalid-drive-letter	
126	prose	14039	14211	c356ea11f27044e7c49a0dd04ec12d4575a485fbfac33b871265f70c667052da	The input is a relative-URL string that starts with a Windows drive letter and the base URL's scheme is "file".	writing	rule.validation-file-invalid-drive-letter	
127	definition	14406	14455	1a254687e6a6db535dbb3286b8a206a443649ccb283b6f0e35326bd8c35eb44d	file-invalid-Windows-drive-letter-host	writing	rule.validation-file-invalid-drive-letter-host	
128	prose	14468	14534	67ca1f7ef9374eef3371fc36c0dd903e57788a4f9329a79c43ee272c395b2672	A file: URL's host is a Windows drive letter.	writing	rule.validation-file-invalid-drive-letter-host	
129	prose	14534	14629	f5d072308ffc6b9cd7bce5cd4d0f17f0ee7d4131a0adfab10561f401d9cbca07	"file://c:"	writing	rule.validation-file-invalid-drive-letter-host	
130	heading	14656	14683	7249a646502f8926216e0bf1cf92d44dec928b963dc7d8bd7280c8d59e9f82a1	Parsers	parsers	-	structural heading
131	prose	14685	14803	2f151f71cc0322f5808c87091f40551eb957d1fad95181b60da988bae3282e5a	The EOF code point is a conceptual code point that signifies the end of a string or code point stream.	parsers	type.eof-code-point	
132	definition	14692	14717	d51220f654d356963c4d8b093ae24f75da1545c52c6770838c8c7fe2cca999d1	EOF code point	parsers	type.eof-code-point	
133	prose	14803	15172	23de2b2761798c4c0d7e6bb4c7de9435eaccb74f2f54269d0c7289e67ccf556b	A pointer for a string input is an integer that points to a code point within input. Initially it points to the start of input. If it is &minus;1 it points nowhere. If it is greater than or equal to input's code point length, it points to the EOF code point.	parsers	type.parser-pointer	
134	definition	14808	14826	2a3e4e8c9ecf1b98c74bf276a3a7d49afae04b419af65815cedbf84dd359b987	pointer	parsers	type.parser-pointer	
